Produtos;Valor;valor parcelado
Placa de Vídeo RX7600 OC ASUS AMD Dual Radeon, 8GB GDDR6 - 90YV0IH2-M0NA00;R$ 1.799,99;10x de R$ 211,76
Placa de vídeo RTX 4060 ASUS Dual 8G EVO OC NVIDIA GeForce, 8GB GDDR6, G-SYNC, Ray Tracing - 90YV0JC7-M0NA00;R$ 2.098,99;10x de R$ 244,06
Placa de Vídeo Galax NVIDIA GeForce GTX 1650 EX Plus (1-Click OC), 4GB, GDDR6 - 65SQL8DS93E1;R$ 849,99;10x de R$ 99,99
Placa de Vídeo RX 550 AMD PCYes Dual Fan Projeto Edge, 4GB GDDR5, 128 BITS - PVEX5504GBDF;R$ 519,98;10x de R$ 55,31
Placa de Vídeo Galax Nvidia Geforce RTX 4060 TI Click OC, 8GB, GDDR6, DLSS Ray Tracing - 46ISL8MD8COC;R$ 2.579,90;10x de R$ 257,99
Placa de Vídeo MSI NVIDIA GeForce GTX 1650 D6 Ventus XS OCV3, 4GB, GDDR6, 128 Bits - 912-V812-003;R$ 799,90;10x de R$ 79,98
Placa de Vídeo GTX 1650, Galax NVIDIA GeForce, 4GB GDDR6, EX Plus, 1-Click OC, 128 Bits - 65SQL8DS93E1;R$ 789,90;10x de R$ 78,98
Placa de Vídeo RTX 4060 TI O8G EVO OC ASUS NVIDIA GeForce, 8GB GDDR6, DLSS3, Ray Tracing, G-Sync;R$ 2.699,99;10x de R$ 317,64
Placa de Video RTX 3050 Stormix Palit NVIDIA GeForce, 6GB GDDR6, DLSS, Ray Tracing, Adaptive Sync - NE63050018JE-1070F;R$ 1.049,99;10x de R$ 123,52
Placa de Vídeo RX 7600 Challenger ASRock AMD Radeon, 8GB GDDR6 - 90-GA41ZZ-00UANF;R$ 1.799,99;10x de R$ 191,48
Placa de Vídeo RTX 4060 Gaming Verto OC Dual Fan PNY NVIDIA GeForce, 08GB GDDR6, DLSS 3, Ray Tracing - VCG40608DFXPB1-O;R$ 1.899,99;10x de R$ 223,52
Placa de Vídeo RTX 4060 Ti Aero OC 8G Gigabyte NVIDIA GeForce, 8GB GDDR6, 128bits, RGB, DLSS, Ray Tracing - GV-N406TAERO OC-8GD;R$ 2.999,99;10x de R$ 352,94
Placa de Vídeo RTX 4080 Super MSI 16G Ventus 3X OC NVIDIA GeForce, 16GB GDDR6X, DLSS, Ray Tracing;R$ 7.499,99;10x de R$ 882,35
Placa de Vídeo G210 PCYes Projeto Edge Low Profile NVIDIA GeForce, 1GB DDR3 - PPE210DR3SFBR;R$ 129,99;6x de R$ 25,48
Placa de Vídeo RTX 3050 ASUS 6G Dual OC NVIDIA GeForce, 6GB GDDR6, DLSS, Ray Tracing, G-Sync - 90YV0K60-M0NA00;R$ 1.099,99;10x de R$ 129,41
Suporte de Placa de Vídeo Rise Mode, ARGB, 500mm, Aura V1, Preto - RM-SPVG-01-ARGB-B;R$ 99,99;4x de R$ 29,41
Placa de Vídeo RTX 4070 TI Super EX Gamer TecLab Lite Click OC Galax NVIDIA GeForce, 16GB GDDR6X, DLSS3, G-Sync - 47UZM6MD7JDL;R$ 5.979,99;10x de R$ 703,52
Suporte para GPU Cooler Master, ARGB, 510mm, Vidro Temperado, 20.1 - MCA-U000R-GSBTG-00;R$ 89,99;4x de R$ 26,46
Placa de Vídeo RTX 4070 Ti Super MSI 16G Ventus 2X OC NVIDIA GeForce, 16GB GDDR6X, DLSS, Ray Tracing;R$ 5.599,99;10x de R$ 658,82
Placa de Vídeo RTX4060 ProArt OC Edition ASUS NVIDIA GeForce, 8GB GDDR6, DLSS, Ray Tracing, G-Sync - 90YV0JM0-M0NA00;R$ 2.299,99;10x de R$ 270,58
Placa de Vídeo RTX 4090 Asus NVIDIA TUF Gaming GeForce OC Edition, 24GB GDDR6X, DLSS, Ray Tracing - TUF-RTX4090-O24G-GAMING;R$ 12.199,99;10x de R$ 1435,29
Placa de Vídeo GT 710 Passive Galax NVIDIA GeForce, 2GB, DDR3 - 71GPF4HI00GX;R$ 271,99;10x de R$ 28,93
Cabo Extensor PCI Express Rise Mode Riser - RM-EX-PV;R$ 139,99;6x de R$ 25,92
Placa de Vídeo R5 220 PCYes Projeto Edge Low Profile, AMD Radeon 2GB, DDR3 - PPER5DR3LPBR;R$ 160,00;7x de R$ 26,88
Placa de Vídeo RX 7600 Steel Legend ASRock AMD Radeon, 8GB GDDR6, ARGB - 90-GA4DZZ-00UANF;R$ 1.999,99;10x de R$ 235,29
Suporte de Placa de Vídeo Rise Mode, ARGB, 500mm, Aura V1, Branco - RM-SPVG-01-ARGB-W;R$ 69,99;3x de R$ 27,44
Placa de Vídeo RTX 4060 Ti Click OC Galax NVIDIA GeForce, 8 GB GDDR6, DLSS, Ray Tracing - 46ISL8MD8COC;R$ 2.899,99;10x de R$ 329,54
Placa de vídeo RTX 4070 Ti Super SG Galax NVIDIA GeForce, 16GB, GDDR6X, DLSS, Ray Tracing - 47UZM6MD6MER;R$ 5.999,99;10x de R$ 697,67
Placa de Vídeo RTX 4090 OC Asus NVIDIA ROG Strix, 24 GB GDDR6X, ARGB, DLSS, Ray Tracing - ROG-STRIX-RTX4090-O24G-GAMING;R$ 13.299,99;10x de R$ 1564,70
Placa de Vídeo Afox AMD Radeon R5 220, 2GB, DDR3, 64Bits - AFR5220-2048D3L9-V2;R$ 136,00;6x de R$ 26,66
Placa de Video RTX 4080 Super Jetstream OC Palit NVIDIA GeForce, 16GB GDDR6X, DLSS, Ray Trancing, G-Sync - NED408SS19T2-1032J;R$ 6.799,99;10x de R$ 764,04
Placa De Vídeo R5 220 Pcyes AMD Radeon, 2GB, DDR3, 64 Bits - Pper5dr3lpbr;R$ 142,09;5x de R$ 29,91
Suporte Para Placa De Vídeo Ntc, R10, Preto - R10blk;R$ 17,95;1x de R$ 17,95
Placa de Vídeo RTX 4060 TI DUAL 8G OC White ASUS NVIDIA GeForce, 8GB GDDR6, DLSS, Ray Trancing, G-Sync - 90YV0J42-M0NA00;R$ 2.799,99;10x de R$ 307,69
Placa de Vídeo ASUS Dual Radeon RX 7700XT OC Edition, 12GB, GDDR6, 192 Bits - 90YV0JZ0-M0NA00;R$ 3.288,99;10x de R$ 386,94
Placa de Vídeo RTX 4070 ASUS NVIDIA Dual 12G Evo OC, 12GB GDDR6X, DLSS3, Ray Tracing, G-Sync - 90YV0J15-M0NA00;R$ 4.099,99;10x de R$ 482,35
Placa De Vídeo Duex Geforce Gt 210, 1gb Ddr3, 64 Bits, Low Profile, HDMI/dvi/vga - G210lp-1gd3;R$ 99,90;4x de R$ 29,38
Placa de Vídeo RX 7600 XT OC ASUS AMD Radeon Dual O16G, 16GB GDDR6 - 90YV0K21-M0NA00;R$ 2.599,99;10x de R$ 302,32
Placa de Vídeo RX 6500 XT ITX Pure Gaming OC Sapphire Pulse AMD Radeon, 8GB GDDR6, Ray Tracing, FreeSync - 11314-06-20G;R$ 1.199,99;10x de R$ 141,17
Placa de Vídeo VGA Galax NVIDIA GeForce GT 1030 2GB GDDR5 64Bits - 30NPH4HVQ4ST;R$ 496,99;10x de R$ 58,46
Placa de Vídeo RTX 4060 Ti Gaming OC 8G Gigabyte NVIDIA GeForce, 8GB GDDR6, 128bits, RGB, DLSS, Ray Tracing - GV-N406TGAMING OC-8GD;R$ 2.799,99;10x de R$ 329,41
Placa de Vídeo RTX A400 PNY Nvidia Quadro, 4GB GDDR6, 64bits - VCNRTXA400ATX-PB;R$ 1.499,99;10x de R$ 176,46
Placa de Vídeo Afox RX 550 AMD Radeon 4GB, GDDR5, 128 Bits - AFRX550-4096D5H4-V5;R$ 569,90;10x de R$ 56,98
Amd Radeon Rx 580 8GB GDDR5 256bits - Rage-x Rx580-8GB-gDDR5;R$ 832,99;10x de R$ 84,99
Placa de Vídeo Duex NVIDIA GeForce GTX 750 TI, 4GB GDDR5, 128 Bits - DX GTX750TI-4GD5;R$ 748,75;10x de R$ 74,87
Placa de Vídeo RTX 4080 Super Gigabyte Aero OC NVIDIA GeForce, 16GB GDDR6, DLSS, Ray Tracing - GV-N4080SAERO OC-16GD;R$ 7.699,99;10x de R$ 905,88
Placa de Vídeo RTX 4070 Ti Super Gigabyte Windforce NVIDIA GeForce, 16GB GDDR6, DLSS, Ray Tracing - GV-N407TSWF3OC-16GD;R$ 5.799,99;10x de R$ 682,35
Placa de Vídeo Galax NVIDIA GeForce RTX 4080 Super SG, 16GB, GDDR6X, DLSS Ray Tracing, G-Sync - 48SZM6MD9RSG;R$ 8.208,00;10x de R$ 912,00
Placa de Vídeo RX 7900 XTX Sapphire AMD, 24 GB GDDR6 - 11322-02-20G;R$ 6.899,99;10x de R$ 766,66
Placa de Vídeo RTX 4080 Super OC Gaming Verto EPIC-X RGB Triple Fan PNY NVIDIA GeForce, 16GB GDDR6X, DLSS 3, Ray Tracing - VCG4080S16TFXXPB1-O;R$ 6.999,99;10x de R$ 813,95
Placa de Vídeo RTX 4070 Ti XLR8 Gaming Verto Epic PNY NVIDIA GeForce, 12GB GDDR6X, RGB, DLSS 3, Ray Tracing - VCG4070T12TFXXPB1;R$ 5.399,99;10x de R$ 635,29
Placa de Vídeo RTX 4090 ROG Strix Asus NVIDIA GeForce, 24 GB GDDR6X, ARGB, DLSS, Ray Tracing, Branco - ROG-STRIX-RTX4090-24G-WHITE;R$ 12.899,99;10x de R$ 1517,64
Placa de Vídeo Galax NVIDIA GeForce RTX 3050 EX, 6GB, GDDR6, 96 Bits - 35NRLDMD9OEX;R$ 1.199,00;10x de R$ 119,90
Placa de Video RTX 4060 TI Dual Palit NVIDIA GeForce, 8GB GDDR6, RGB, 128bit, G-Sync, Ray Tracing, DLSS - NE6406T019P1-1060D;R$ 2.599,99;10x de R$ 305,88
Placa de Vídeo RX 7600 XT ASUS AMD Radeon Tuf 16G Gaming OC, 16GB GDDR6 - 90YV0K20-M0NA00;R$ 3.499,99;10x de R$ 397,72
Placa de Vídeo Quadro T400 PNY NVIDIA, 4GB, GDDR6, PCIe 3.0 - VCNT4004GB-PB;R$ 1.299,99;10x de R$ 152,94
Placa de Vídeo RTX 4060 XLR8 VERTO EPIC-X Gaming PNY NVIDIA GeForce, 8GB GDDR6, RGB, DLSS, Ray Tracing - VCG40608TFXXPB1;R$ 1.999,99;10x de R$ 235,29
Placa de Video RTX 4070 Ti Super GamingPro WHITE OC Palit NVIDIA GeForce, 16GB GDDR6X, DLSS, Ray Trancing, G-Sync - NED47TST19T2-1043W;R$ 6.249,99;10x de R$ 710,22
Placa de Vídeo Intel Arc A380 Low Profile 6G AsRock, 6GB GDDR6, Dr. MOS - 90-GA46ZZ-00UANF;R$ 829,99;10x de R$ 97,64
Placa de Vídeo PNY Nvidia Quadro RTX A1000, 08GB GDDR6, 128bits - VCNRTXA1000ATX-PB;R$ 2.799,99;10x de R$ 329,41
Placa de Vídeo MSI RTX 3050 Ventus 2X OC, 6GB RAM, GDDR6, 96 Bits - 912-V812-016;R$ 1.456,95;10x de R$ 145,69
Placa de Vídeo Galax NVIDIA GeForce RTX 3060, 12GB GDDR6, LHR, 1-Click OC, 15GBps, Ray Tracing, DLSS - 36NOL7MD1VOC;R$ 1.869,90;10x de R$ 186,99
Placa de Vídeo Galax GT 210 Nvidia GeForce 1GB, DDR3, 64-bits - 21GGF4HI00NP;R$ 138,23;6x de R$ 25,31
Placa de Vídeo RTX 4090 ROG Strix OC Edition Asus NVIDIA GeForce, 24 GB GDDR6X, ARGB, DLSS, Ray Tracing - ROG-STRIX-RTX4090-O24G-WHITE;R$ 13.399,99;10x de R$ 1576,46
Placa de Vídeo RTX 4070 VENTUS 2X MSI NVIDIA GeForce, 12 GB OC GDDR6X, DLSS 3, Ray Tracing;R$ 4.199,99;10x de R$ 471,90
Placa de Video RTX 4060 TI White Dual Palit NVIDIA GeForce, 8GB GDDR6, DLSS, Ray Tracing, G-Sync - NE6406T019P1-1048L;R$ 2.699,99;10x de R$ 317,64
Placa de Vídeo RTX 4090 ROG Strix Asus NVIDIA GeForce, 24 GB GDDR6X, ARGB, DLSS, Ray Tracing - ROG-STRIX-RTX4090-24G-GAMING;R$ 13.299,99;10x de R$ 1564,70
Suporte Placa De Vídeo, 50-80mm, Vertical, Rosqueável, Preto, Coolmoon GH-80;R$ 37,86;1x de R$ 37,86
Placa de Vídeo RX 7900 XT OC Edition TUF Gaming Asus AMD, 20 GB GDDR6, ARGB - TUF-RX7900XT-O20G-GAMING;R$ 5.799,99;10x de R$ 682,35
Placa de Vídeo ASRock Intel Arc A580 Challenger 8G OC, 8GB GDDR6 - 90-GA3JZZ-00UANF;R$ 1.199,99;10x de R$ 141,17
Placa De Vídeo AMD Pcyes Radeon Rx 570, 4GB, DDR5, 128bits - Pvrx570lp4gbdf;R$ 776,95;10x de R$ 88,29
Placa de Vídeo RTX 4060 Ti WINDFORCE OC 8G Gigabyte NVIDIA GeForce, 8GB GDDR6, DLSS, Ray Tracing - GV-N406TWF2OC-8GD;R$ 2.699,99;10x de R$ 317,64
Placa de Vídeo RTX 4090 TUF 24G OG Gaming OC ASUS NVIDIA GeForce, 24GB GDDR6X, DLSS, Ray Tracing, G-Sync - 90YV0IY3-M0NA00;R$ 12.299,99;10x de R$ 1447,05
Placa De Vídeo Pcyes, Nvidia Geforce Gtx 1660 Ti 6GB, GDDR6, Dual Fan- Pvgtx1660ti6gbp;R$ 1.268,16;10x de R$ 142,49
Placa de Vídeo RTX 4060 EAGLE OC ICE Gigabyte NVIDIA GeForce, 8GB GDDR6, DLSS, Ray Tracing - GV-N4060EAGLEOC ICE-8GD;R$ 2.199,99;10x de R$ 258,82
Placa de Vídeo RTX 4080 Super Gigabyte Gaming OC NVIDIA GeForce, 16GB GDDR6, DLSS, Ray Tracing - GV-N408SGAMING OC-16GD;R$ 8.999,99;10x de R$ 927,83
Placa de Vídeo RTX 4090 ASUS ROG Strix 24G BTF Gaming OC NVIDIA GeForce, 24GB GDDR6X, RGB, DLSS, Ray Tracing - 90YV0JT0-M0NA00;R$ 12.999,99;10x de R$ 1529,41
Placa de Video RTX 4070 Super Jetstream OC Palit NVIDIA GeForce, 12GB GDDR6X, DLSS, Ray Trancing, G-Sync - NED407ST19K9-1043J;R$ 4.599,99;10x de R$ 541,17
Placa De Video Pcyes AMD Radeon R7 240, 4GB, GDDR5, 128 Bits, Single-fan, Gaming Edition - Pvr2404gbr5128;R$ 350,15;10x de R$ 39,79
Placa de Vídeo PowerColor AMD Radeon RX550, 4GB, GDDR5, 128 Bits - 4GBD5-HLE;R$ 459,90;10x de R$ 51,10
Placa de Vídeo Asus RTX 3050 OC Dual NVIDIA GeForce 6GB, GDDR6, 96 Bits - DUAL-RTX3050-6G;R$ 1.149,90;10x de R$ 114,99
Placa de Vídeo RTX 3060 PCYes NVIDIA Geforce, 12GB DDR6 192 Bit Graffiti Series Full Size - Pgs3060Fs192;R$ 1.799,99;10x de R$ 183,67
Suporte Para Placa De Vídeo Ntc H21, Preto - H21BLK;R$ 34,82;1x de R$ 34,82
Placa de Vídeo R7 250 PCYes AMD Radeon, 4GB GDDR5, 128 Bit - PJR7250X4GB;R$ 449,99;10x de R$ 52,32
Placa de Vídeo RTX 3050 Twin X2 Inno3D NVIDIA GeForce, 6GB - N30502-06D6-1711VA60;R$ 1.139,99;10x de R$ 134,11
Placa de Vídeo RTX 4080 Super Gigabyte Windforce NVIDIA GeForce, 16GB GDDR6, DLSS, Ray Tracing - GV-N408SWF3V2-16GD G10;R$ 7.499,99;10x de R$ 882,35
Placa de Video RTX 4070 Ti Super GamingPro OC Palit NVIDIA GeForce, 16GB GDDR6X, DLSS, Ray Trancing, G-Sync - NED47TSH19T2-1043A;R$ 5.879,99;10x de R$ 691,76
Suporte para Placa De Vídeo Coolmoon, LED ARGB, 5v, 3 Pinos, 280mm, Preto, Controlável;R$ 131,39;5x de R$ 27,66
Placa de Vídeo Afox NVIDIA GeForce GT240, 1024 MB, PCI Express 2.0, VGA, HDMI, DVI;R$ 177,48;7x de R$ 28,17
Placa De Vídeo RTX 4060 VENTUS 2x White Oc Msi NVIDIA Geforce, 8GB, GDDR6, DlSS, Ray Tracing - 912-v516-030;R$ 2.870,21;10x de R$ 287,02
Placa de Vídeo Afox AMD Radeon RX 550, 4GB GDDR5, 128 Bits - AFRX550-4096D5H4-V6;R$ 525,26;10x de R$ 52,52
Suporte Placa De Vídeo, 80-120mm, Vertical, Rosqueável, Preto, Coolmoon GH-120;R$ 40,71;1x de R$ 40,71
Placa De Vídeo Aitek GT210, 1GB, DDR3, VGA/HDMI, 500MHz;R$ 130,82;5x de R$ 26,16
Placa de Vídeo PCWINMAX RX 580 Gamer AMD Radeon 16GB, GDDR5, 256bits, LED, RGB, Branca;R$ 999,00;10x de R$ 106,27
Suporte Placa De Vídeo Vertical, Rosqueável 80-120mm, Prata, Coolmoon GH-120;R$ 40,71;1x de R$ 40,71
Placa de Vídeo RTX 4090 Aero OC 24G Gigabyte NVIDIA GeForce, 24GB GDDR6X, 384bits, RGB, DLSS, Ray Tracing - GV-N4090AERO OC-24GD;R$ 12.399,99;10x de R$ 1458,82
Placa De Vídeo Nvidia Duex Geforce Gt 730, 4GB, GDDR3, 128 Bits - Gt730lp-4gd3;R$ 1.093,50;10x de R$ 109,35
Placa De Vídeo Msi RTX 3050 6gb 96bits Gddr6 Low Profile Oc PCi-e - 6266 6266;R$ 1.399,74;10x de R$ 174,96
Placa de Vídeo RX 7900 XTX Taichi ASRock AMD Radeon, White 24G OC - RX7900XTX TCW 24GO;R$ 7.289,90;10x de R$ 857,63
Placa de Vídeo RTX 4070 O12G OC White NVIDIA GeForce, 12GB GDDR6X, DLSS, Ray Tracing, G-Sync - 90YV0IZ4-M0NA00;R$ 4.499,99;10x de R$ 529,41
Placa de Vídeo PowerColor AMD Red Devil RX 6700XT, 12GB GDDR6, HDMI - AXRX 6700XT 12GBD6-3DHE/OC;R$ 2.286,50;10x de R$ 269,00
Placa De Video PCyes Geforce Gt 610, 2gb, GDDR3, 64-bit, Ppe610dr3lpbr;R$ 214,90;8x de R$ 26,86
Placa De Vídeo Galax RTX 4060 1-click Oc 2x, 8GB, GDDR6, 128bits - 46nsl8md8loc;R$ 2.012,93;10x de R$ 211,88
Placa de Vídeo Galax NVIDIA GeForce GT710, 2G,B DDR3, 64Bits - 71GPF4HI00GX;R$ 259,99;10x de R$ 30,58
Placa de Vídeo RTX 4080 Super X3 OC White Inno3D NVIDIA GeForce, 16GB GDDR6X, DLSS, Ray Tracing, G-Sync - N408S3-166XX-18703259;R$ 6.899,99;10x de R$ 811,76
Placa de Vídeo RTX 4060 PCYes NVIDIA GeForce, 8GB GDDR6, DLSS, Ray Tracing, G-Sync - PA40608GR6DF;R$ 1.949,99;10x de R$ 229,41
Placa de Vídeo RTX 4090 Asus TUF Gaming NVIDIA GeForce, 24 GB GDDR6X, ARGB, DLSS, Ray Tracing - TUF-RTX4090-24G-GAMING;R$ 12.399,99;10x de R$ 1441,85
Suporte P/ Placa De Vídeo Ajustável Preto Com Base Imantada Ax-b100;R$ 64,99;2x de R$ 32,49
Suporte Para Placa De Vídeo Ntc R10, Branco - R10WHT;R$ 17,95;1x de R$ 17,95
Suporte para Placa De Vídeo Coolmoon, Branco, LED ARGB 5v, 3 Pinos, 280mm, Controlável;R$ 131,48;5x de R$ 27,68
Placa De Video Brx Geforce Gtx 750, 4GB, DDR5, 128 Bits HDMI, VGA, DVI, Nvidia-gtx750-4g-640sp;R$ 469,41;10x de R$ 55,22
Placa De Vídeo Gtx 1660 Nvidia Geforce Super PCwinmax 6gb, Gddr6, 192 Bits;R$ 1.136,27;10x de R$ 113,62
Placa De Video Revenger RX 550 AMD Radeon 4GB, GDDR5, 128Bits;R$ 451,37;10x de R$ 46,53
Placa de Vídeo RTX 3060 Gainward NVIDIA GeForce, Ghost 190AU, 12GB, GDDR6, 192 Bits, Dual FAN - NE63060019K9;R$ 1.690,16;10x de R$ 211,27
Placa de Vídeo RTX 4060 Ti GAMING X 8G MSI NVIDIA GeForce, 8 GB GDDR6, DLSS, Ray Tracing;R$ 2.989,99;10x de R$ 351,76
Placa de Vídeo RTX 4090 Gaming Slim MSI NVIDIA GeForce, 24GB GDDR6X - 912-V510-400;R$ 12.699,99;10x de R$ 1411,11
Placa de Vídeo Intel Arc A770 Phantom Gaming AsRock, 16GB GDDR6, RGB, Polychrome SYNC - 90-GA4KZZ-00UANF;R$ 2.449,99;10x de R$ 288,23
Cabo Extensor Thermaltake TT Gaming Riser, 20cm, Cable PCI-E 3.0, Preto - AC053CN1OTNC1.;R$ 282,77;10x de R$ 33,26
Placa De Video Worldpc Rx 580 Gamer Amd Radeon 8GB, GDDR5, 256bits, HDMI;R$ 839,00;10x de R$ 88,31
Placa De Vídeo Duex Geforce Gtx 750 Ti, 4gb, GDDR5, 128 Bits - Dx Gtx750ti-4gd5;R$ 542,62;10x de R$ 63,83
Placa De Vídeo Zotac NVIDIA Geforce RTX 4060 Twin Edge Oc, 8GB, GDDR6, 128 Bits, HDMI E Displayport - Zt-d40600h-10m;R$ 2.064,45;10x de R$ 212,83
Placa de Vídeo Asus NVIDIA GeForce RTX 3060, 12GB GDDR6, LHR, 192 Bits - DUAL-RTX3060-O12G-V2;R$ 2.530,16;10x de R$ 301,20
Placa De Vídeo RTX 4070 TI Ventus 3x Trio Oc, MSI Nvidia, 12GB, DDR6, 192 Bits - 912-V513001;R$ 6.881,91;10x de R$ 688,19
Placa de Vídeo Revenger Nvidia GeForce GT730, 4GB DDR3, PCIe;R$ 333,90;10x de R$ 37,10
